"","ID","ParasiteReportedName","ParasiteCorrectedName","ParasiteType","Sexual","Vertical","Direct","Indirect","CloseT","Nonclose","Vector","Intermediate","HostReportedName","HostCorrectedName_MSW05","HostCorrectedName_Corbet","HostSex","HostAge","TotalPrevalence","NumPrevalenceSamples","SampleType","SamplingBasis","Citation","LatitudeDecimal"
"484",631,"Enterobius lemuris","Colobenterobius inglisi","Helminth","0","0","1","0","1","1","0","0","Lemur macaco macaco","Eulemur_macaco","Lemur_fulvus","","","NULL","NULL","Tissue","NULL","Chabaud et al. 1965","-13.33"
"485",4722,"Enterobius lemuris","Colobenterobius inglisi","Helminth","0","0","1","0","1","1","0","0","Lemur macao","Eulemur_macaco","Lemur_macaco","","","NULL","NULL","Unstated","NULL","Brooks and Glen 1982","NULL"
"486",5230,"Enterobius lemuris","Colobenterobius inglisi","Helminth","0","0","1","0","1","1","0","0","Lemur macao","Eulemur_macaco","Lemur_macaco","","Null","0","0","Unstated","","Brooks and Glen 1982","NULL"
"487",5364,"Enterobius lemuris","Colobenterobius inglisi","Helminth","0","0","1","0","1","1","0","0","Lemur macao","Eulemur_macaco","Lemur_macaco","Null","Null","0","0","Unstated","","Brooks and Glen 1982","NULL"
"1619",641,"Dipetalonema petteri","Dipetalonema petteri","Helminth","0","0","0","1","0","0","1","0","Lemur macaco macaco","Eulemur_macaco","Lemur_fulvus","","","NULL","NULL","Tissue","NULL","Chabaud et al. 1965","-15.71"
"1742",5777,"Enterococcus","Enterococcus sp.","Bacteria","0","0","1","0","0","1","0","0","Eulemur macaco macaco","Eulemur_macaco","Lemur_macaco","","","0.7","10","","Samples","Junge and Louis 2007","-13.42"
"3290",198,"Lemuricola nana","Lemuricola nana","Helminth","0","0","1","0","0","1","0","0","Lemur macaco","Eulemur_macaco","Lemur_macaco","","","NULL","NULL","","NULL","Hugot and Baylac 1996","NULL"
"4344",5779,"Escherichia coli","Escherichia coli","Bacteria","0","0","1","1","1","1","0","0","Eulemur macaco macaco","Eulemur_macaco","Lemur_macaco","","","0.1","10","","Samples","Junge and Louis 2007","-13.42"
"4604",6494,"Lemuricola sp.","Lemuricola sp.","Helminth","0","0","1","0","0","1","0","0","Eulemur flavifrons","Eulemur_macaco","Lemur_macaco","","","0.556","18","Fecal","Animals","Schwitzer et al. 2010","-16.31"
"4605",6495,"Lemuricola sp.","Lemuricola sp.","Helminth","0","0","1","0","0","1","0","0","Eulemur flavifrons","Eulemur_macaco","Lemur_macaco","","","0.042","166","Fecal","Samples","Schwitzer et al. 2010","-16.31"
"4606",6496,"Lemuricola sp.","Lemuricola sp.","Helminth","0","0","1","0","0","1","0","0","Eulemur flavifrons","Eulemur_macaco","Lemur_macaco","","","0.048","166","Fecal","Samples","Schwitzer et al. 2010","-16.31"
"4960",2151,"Madoxyuris lemuris","Lemuricola lemuris","Helminth","0","0","1","0","1","1","0","0","Eulemur macaco","Eulemur_macaco","Lemur_macaco","","","NULL","NULL","Unstated","NULL","Hugot 1999","-20"
"5258",620,"Callistoura brygooi","Callistoura brygooi","Helminth","0","0","1","0","0","1","0","0","Lemur macaco macaco","Eulemur_macaco","Lemur_fulvus","","","NULL","NULL","Tissue","NULL","Chabaud et al. 1965","-13.33"
"7748",5772,"Toxoplasma IgG","Toxoplasma sp.","Protozoa","0","0","0","1","0","0","0","1","Eulemur macaco macaco","Eulemur_macaco","Lemur_macaco","","","0.1","10","","Animals","Junge and Louis 2007","-13.42"
"7749",5773,"Lemuricola","Lemuricola sp.","Helminth","0","0","1","0","0","1","0","0","Eulemur macaco macaco","Eulemur_macaco","Lemur_macaco","","","0.3","10","Fecal","Animals","Junge and Louis 2007","-13.42"
"7752",5775,"Callistroura","Callistoura sp.","Helminth","0","0","1","0","0","1","0","0","Eulemur macaco macaco","Eulemur_macaco","Lemur_macaco","","","0.3","10","Fecal","Animals","Junge and Louis 2007","-13.42"
"7753",5776,"Psoroptes","Psoroptes sp.","Arthropod","0","0","1","0","1","1","0","0","Eulemur macaco macaco","Eulemur_macaco","Lemur_macaco","","","0.04","25","","Animals","Junge and Louis 2007","-13.42"
"7755",5778,"coagulase-negative Staphylococcus","Staphylococcus sp.","Bacteria","0","0","1","0","0","0","0","0","Eulemur macaco macaco","Eulemur_macaco","Lemur_macaco","","","0.2","10","","Samples","Junge and Louis 2007","-13.42"
"7756",5780,"Streptococcus group D","Streptococcus sp.","Bacteria","0","0","1","0","1","0","0","0","Eulemur macaco macaco","Eulemur_macaco","Lemur_macaco","","","0.1","10","","Samples","Junge and Louis 2007","-13.42"
"7757",5781,"alpha-hemolytic Streptococcus","Streptococcus sp.","Bacteria","0","0","1","0","1","0","0","0","Eulemur macaco macaco","Eulemur_macaco","Lemur_macaco","","","0.1","10","","Samples","Junge and Louis 2007","-13.42"
"7758",5782,"Klebsiella ozaenae","Klebsiella pneumoniae","Bacteria","0","0","1","1","1","1","0","0","Eulemur macaco macaco","Eulemur_macaco","Lemur_macaco","","","0.1","10","","Samples","Junge and Louis 2007","-13.42"
"7760",5783,"Bacillus cereus","Bacillus cereus","Bacteria","0","0","0","1","0","1","0","0","Eulemur macaco macaco","Eulemur_macaco","Lemur_macaco","","","0.1","10","","Samples","Junge and Louis 2007","-13.42"
"8049",6498,"Callistoura sp.","Callistoura sp.","Helminth","0","0","1","0","0","1","0","0","Eulemur flavifrons","Eulemur_macaco","Lemur_macaco","","","0.042","166","Fecal","Samples","Schwitzer et al. 2010","-16.31"
"8050",6499,"Callistoura sp.","Callistoura sp.","Helminth","0","0","1","0","0","1","0","0","Eulemur flavifrons","Eulemur_macaco","Lemur_macaco","","","0.042","166","Fecal","Samples","Schwitzer et al. 2010","-16.31"
"8167",7281,"Lemuricola (Madoxyuris) lemuris","Lemuricola lemuris","Helminth","0","0","1","0","1","1","0","0","Eulemur macaco","Eulemur_macaco","Lemur_macaco","Null","Null","NULL","NULL","-88","NULL","Irwin and Raharison, 2009","-20"
