Species,Female body mass (g),Sexual size dimorphism,Home range size (km2) ,Gestation length (d),Litter size,% leaves in natural diet,Substrate use,Malagasy origin (yes.no),Mid-latitude,Latitude range,Mean temperature (°),Mean precipitation (mm),Seasonality natural habitat,Seasonality natural habitat_2,Seasonality zoo,Changer status (0/1),Seasonality natural habitat,Seasonality zoo, Changer category (0/1/2),r-vector,Birth peak breadth,N
Allenopithecus nigroviridis,3450,1.74,0.6,167.8,1.01,3,0,0,-0.17,7.35,25.17,157.4,4,,4,0,2,2,0,NA,230,175
Allochrocebus lhoesti,3750,2.13,1.04,180,1,35,0.5,0,-1.13,9.76,22.56,127.13,2,,5,1,1,3,2,NA,265,173
Alouatta caraya,5050,1.48,0.59,185.9,1.01,70,0,0,-20.34,16.49,22.9,116.64,4,3,5,0,2,3,1,0.32,285,681
Alouatta sara,6000,1.25,0.25,191,1.22,50,0,0,-14.72,9.55,24.49,109.48,NA,,4,NA,NA,3,NA,NA,255,60
Alouatta seniculus,6300,1.19,0.1,189.9,1.42,48,0,0,0.68,23.04,25.08,182.34,4,3,4,0,2,2,0,0.2,230,67
Aotus azarae,1230,1.04,0.08,126.5,1,32,0,0,-17.05,14.28,24.62,101.09,2,,3,0,2,3,0,0.95,255,226
Aotus lemurinus,859,1.07,0.11,132.2,1.01,20,0,0,6.21,9.79,24.22,190.02,NA,,5,NA,NA,3,NA,NA,285,459
Aotus trivirgatus,736,1.1,0.02,133.5,1.06,27,0,0,4.15,9.82,24.77,178.6,NA,,5,NA,NA,3,NA,0.34,270,354
Ateles belzebuth,7900,1.08,2.28,138.2,1.02,9,0,0,-0.44,9.06,25.77,227.01,5,,4,0,3,2,1,0.49,230,54
Ateles chamek,5000,1.4,1.16,229,1,12,0,0,-7.01,8.85,25.5,194.51,4,,5,0,2,3,1,NA,265,82
Ateles fusciceps,8800,1.01,-2.94,224.7,1.01,10,0,0,6.44,9.34,24.08,220.34,NA,,5,NA,NA,3,NA,NA,265,816
Ateles geoffroyi,7700,1.06,0.73,226.4,1.01,15,0,0,12.38,23.42,24.32,153.93,3,,5,1,2,3,1,0.54,280,1482
Ateles hybridus,9000,0.92,9.16,230,1.01,5,0,0,8.8,5.09,25.56,114.72,4,,4,0,2,3,0,NA,260,175
Ateles paniscus,8400,1.08,1.36,228.2,1,8,0,0,2.06,10.42,25.58,157.69,4,2,5,0,2,3,1,0.37,250,115
Callimico goeldii,355,1.03,0.32,154,1.05,13,0,0,-5.33,12.61,25.98,209.19,2,,5,1,1,3,2,NA,285,2724
Callithrix geoffroyi,210,1.38,0.23,144,2.02,0,0,0,-18.99,4.17,21.61,108.43,2,,4,1,1,3,1,NA,245,2714
Callithrix jacchus,322,0.99,0.02,144,2.31,0,0,0,-6.58,7.6,24.99,99.39,4,3,5,0,2,3,1,0.2,275,6047
Callithrix kuhlii,373,1.29,0.06,141.6,2,0,0,0,-15.62,2.44,22.99,149.75,3,,5,1,2,3,1,NA,275,501
Callithrix penicillata,307,1.12,0.01,150,2,0,0,0,-12.68,20.71,21.99,117.22,2,,4,1,1,2,1,NA,255,610
Cebuella pygmaea,134,0.87,0,134.4,1.93,0,0,0,-5.96,13.11,25.65,208.53,3,2,5,1,2,3,1,0.15,285,5316
Cebus albifrons,2228,1.08,0.53,158.3,1.01,0,0,0,-0.82,24.77,25.27,192.99,4,,4,0,2,2,0,NA,275,246
Cebus capucinus,2250,1.56,0.35,161.1,1.01,15,0,0,8.74,14.56,24.05,216.57,4,3,5,0,2,3,0,0.45,275,485
Cebus olivaceus,2650,1.36,1.7,162,1.01,6,0,0,4.78,13.17,24.88,155.52,3,,3,0,2,3,0,0.66,240,161
Cercocebus atys,6500,1.69,5,165.1,1.01,24,1,0,7.92,7.14,25.56,186.09,2,,5,1,1,3,2,NA,265,340
Cercocebus chrysogaster,8000,1.63,0.15,174,1,0,0.5,0,-2.7,8.6,24.86,151.44,4,,5,0,2,3,1,NA,250,108
Cercocebus torquatus,6560,2.05,2.24,169,1.01,0,0.5,0,4.2,13.57,25.24,175.62,5,,5,0,3,3,0,NA,275,370
Cercopithecus ascanius,2827,1.55,0.16,148.5,1.01,26,0,0,-2.71,19,23.66,131.01,3,2,5,1,2,3,1,0.25,270,234
Cercopithecus cephus,3000,1.47,0.24,169.5,1.01,11,0,0,-0.42,11.25,24.45,149.87,3,4,4,0,2,2,0,NA,245,59
Cercopithecus diana,3900,1.33,1.25,152.5,1.01,9,0,0,6.65,4.6,24.81,237.57,3,2,4,0,2,2,0,NA,235,672
Cercopithecus hamlyni,3361,1.63,0.12,180,1.1,19,0.5,0,-1.75,8.52,22.62,126.88,2,3,5,1,1,3,2,NA,270,131
Cercopithecus mitis,3750,1.53,0.1,138.4,1,18,0,0,-1.9,27.82,22.15,109.08,2,,4,1,2,2,0,0.73,250,113
Cercopithecus mona,3250,1.38,0.63,158,1,14,0,0,6.83,6.5,25.7,135.42,3,2,4,0,2,2,0,NA,270,152
Cercopithecus neglectus,3660,1.71,0.06,172.1,1.02,21,0.5,0,-1.11,19.19,24.11,138.29,4,,4,0,2,2,0,NA,260,1199
Cercopithecus nictitans,4030,1.73,1.15,169.5,1,15,0,0,1.69,15.49,24.7,148.27,3,,5,1,2,3,1,NA,230,60
Cercopithecus petaurista,2450,1.49,0.68,213.5,1.02,23,0,0,8.93,9.17,25.89,167.77,5,,5,0,3,3,0,NA,260,118
Cercopithecus roloway,2260,2.3,1.89,152.5,1.01,10,0,0,5.97,2.47,26.24,124.7,3,,4,0,2,2,0,NA,240,68
Cheirogaleus medius*,282,1,0.02,61.8,2.04,4,0,1,-19.03,13.09,24.05,85.08,2,,2,0,1,3,0,NA,130,482
Chlorocebus aethiops,2900,1.64,0.24,162,1,20,0.5,0,12.6,13.79,21.65,70.92,2,4,4,1,2,2,0,0.85,260,1038
Chlorocebus pygerythrus,2900,1.64,0.42,163,1,10,0.5,0,-13.19,43.28,21.84,65.48,3,,4,0,2,2,0,NA,250,180
Chlorocebus sabaeus,4650,1.2,1.03,164,1,37,0.5,0,11.44,10.51,26.99,108.99,3,4,4,0,2,2,0,NA,225,277
Colobus angolensis,7800,1.29,14.06,162.5,1.01,58,0,0,-4.16,17.09,23.33,122.91,4,,5,0,2,3,1,NA,270,370
Colobus guereza,7850,1.37,0.17,169,1,61,0,0,5.15,18.5,23.16,108.92,4,,5,0,2,3,1,NA,290,3055
Colobus polykomos,7500,1.11,0.14,172.7,1,53,0,0,9.06,9.43,25.72,180.76,4,2,5,0,2,3,1,NA,280,270
Daubentonia madagascariensis,2572,1.02,0.06,166.5,1.01,0,0.5,1,-18.79,12.82,21.7,149.13,4,3,4,0,2,2,0,NA,245,75
Erythrocebus patas,6500,1.91,28.24,167.2,1.01,3,1,0,7.97,23.91,26.36,73.39,2,3,3,0,1,3,1,0.85,195,1821
Eulemur albifrons,2150,1.03,0.13,117,1.1,8,0,1,-15.5,3.75,20.16,168.69,1,,2,0,1,3,0,NA,90,775
Eulemur collaris*,2217,0.93,0.59,120,1.1,4,0,1,-24.08,2.19,20.22,155.37,1,,2,0,1,3,0,NA,65,154
Eulemur coronatus,1180,1.07,0.05,124,1.53,3,0,1,-13.06,1.51,23.78,105.09,1,,2,0,1,3,0,NA,75,247
Eulemur fulvus*,1775,1.05,0.05,120.8,1.1,25,0,1,-16.64,6.7,21.42,156.13,2,1,2,0,1,3,0,NA,95,1037
Eulemur macaco*,2065,1.06,0.03,127.5,1.04,45,0,1,-13.94,1.27,22.26,134.19,2,1,2,0,1,3,0,NA,80,1193
Eulemur mongoz*,1280,0.89,0.05,129,1.11,26,0,1,-16.11,0.86,26.2,125.88,2,1,2,0,1,3,0,0.99,95,334
Eulemur rubriventer*,1960,1.05,0.13,127,1.01,8,0,1,-18.45,9.31,19.43,178.11,2,1,2,0,1,3,0,0.894b,105,360
Eulemur rufus*,1840,0.97,0.01,121,1,47,0,1,-19.51,7.15,22.84,106.88,1,,2,0,1,3,0,1,70,498
Galago moholi,198,1.08,0.04,122.3,1.6,0,0,0,-13.46,27.4,21.73,80.12,2,,4,1,1,2,1,0.43,260,584
Galago senegalensis,266,1.35,0.08,127,1.5,0,0,0,1.95,31.78,24.99,80.08,3,"2,4",4,0,2,2,0,NA,260,1165
Galagoides demidoff,61,1.02,0.01,111,1.29,0,0,0,-0.14,20.16,24.36,140.43,4,3,5,0,2,3,1,0.46,265,132
Gorilla gorilla,71500,2.38,4.03,257,1.05,61,1,0,0.88,13.87,24.24,152.88,5,,5,0,3,3,0,0.05,290,1342
Hapalemur alaotrensis,1251,0.98,0.02,137.5,1.5,51,0,1,-17.5,0.36,19.17,207.35,3,,4,0,2,2,0,NA,235,191
Hapalemur griseus,915,1,0.01,141.2,1.5,97,0,1,-19.45,11.41,19.74,177.28,1,2,3,1,1,2,1,0.88,155,103
Hylobates agilis,6400,1.06,0.19,210,1.02,39,0,0,0.16,12.21,25.42,239.8,NA,,5,NA,NA,3,NA,NA,275,100
Hylobates lar,5300,1.08,0.32,212.9,1.01,25,0,0,13.68,23.63,22.96,172.74,3,4,5,1,2,3,1,NA,280,1400
Hylobates moloch,6250,1.05,0.12,241.2,1,38,0,0,-7,1.03,23.83,211.91,NA,,5,NA,NA,3,NA,NA,265,114
Hylobates muelleri,5250,1.06,0.26,206.7,1.02,34,0,0,1.13,10.63,24.01,266.53,NA,,5,NA,NA,3,NA,NA,270,107
Hylobates pileatus,7680,1.02,0.23,200.2,1,20,0,0,12.92,4.87,25.99,157.6,NA,,5,NA,NA,3,NA,NA,270,147
Lagothrix lagotricha,7020,1.16,2.82,224,1.01,16,0,0,0.02,8.45,25.79,226.56,2,3,5,1,1,3,2,0.59,265,284
Lemur catta*,2205,0.98,0.05,134.7,1.18,32,0.5,1,-23.05,5.11,22.97,62.94,2,1,2,0,1,3,0,0.97,90,10562
Leontopithecus chrysomelas,535,1.16,0.24,125.3,2.04,0,0.5,0,-15.01,2.04,22.4,153.12,3,4,4,0,2,2,0,NA,245,1717
Leontopithecus chrysopygus,586,1.17,0.83,125,2.04,0,0,0,-21.99,3.19,21.86,127.26,4,3,4,0,2,3,0,NA,205,177
Leontopithecus rosalia,598,1.04,0.26,134,1.94,0,0,0,-22.1,1.79,20.65,128.32,3,4,4,0,2,2,0,0.68,200,3744
Lophocebus albigena,5500,1.32,1.98,182.6,1.01,5,0,0,0.22,12.48,23.82,141.68,4,,4,0,2,2,0,NA,225,93
Lophocebus aterrimus,5575,1.42,0.34,182.6,1,16,0,0,-1.65,7.29,25.08,157.81,NA,,5,NA,NA,3,NA,NA,265,166
Loris lydekkerianus,220,1.14,0.04,167.5,1.5,7,0,0,13.75,14.94,26.4,112.22,3,4,4,0,2,2,0,NA,250,165
Loris tardigradus,132,1.23,0.01,166,1.44,0,0,0,6.75,1.68,25.23,147.27,4,3,5,0,2,3,1,NA,270,149
Macaca arctoides,8400,1.45,7.5,176.6,1.01,40,1,0,17.16,22.58,19.63,164.32,5,4,4,0,3,2,1,NA,265,198
Macaca cyclopis*,6690,1.51,1.3,161.1,1,23,1,0,23.91,1.9,12.95,161.86,2,,2,0,1,3,0,0.91,100,67
Macaca fascicularis,3590,1.49,0.46,164.7,1,32,0.5,0,4.13,29.02,24.92,219.05,3,,4,0,2,2,0,0.61,260,1600
Macaca fuscata,8800,1.34,1.43,173,1.02,40,1,0,35.88,11.32,10.22,147.66,2,3,3,0,1,3,1,0.92,125,2841
Macaca maura,5570,1.41,0.2,167.2,1.01,40,1,0,-4.98,1.45,23.75,231.33,3,4,4,0,2,2,0,0.5,265,124
Macaca mulatta,5340,1.44,5.91,166.1,1.01,84,0.5,0,25.07,22.76,16.88,117.36,4,3,4,0,2,2,0,0.710a,165,1383
Macaca nemestrina,5940,1.69,1.75,171,1.01,11,1,0,3.04,15.87,24.67,244.98,4,,5,0,2,3,1,0.25,275,936
Macaca nigra,5470,1.8,2.28,172.4,1.01,2,0.5,0,1.01,1.48,22.54,230.8,4,3,5,0,2,3,1,NA,280,1312
Macaca radiata,3850,1.73,0.88,161.6,1.01,26,1,0,14.59,13.06,26.45,93.74,2,"1,3",4,1,1,2,1,0.87,190,155
Macaca silenus,6100,1.46,0.88,172,1.01,0,0,0,13.19,5.96,25.3,88.07,3,,5,1,2,3,1,0.33,280,1658
Macaca sylvanus,10200,1.63,2.63,164.8,1.02,11,1,0,34.21,5.42,14.78,45.93,2,,3,0,1,3,1,0.92,115,1448
Macaca tonkeana,7270,1.45,0.56,176,1.01,15,0.5,0,-1.1,4.92,20.44,222.91,NA,,5,NA,NA,3,NA,NA,245,319
Mandrillus leucophaeus,13850,2.32,45,179.2,1.01,16,1,0,5.21,4.02,24.28,203.29,3,,4,0,2,2,0,NA,260,409
Mandrillus sphinx,8957,3.25,26.34,174,1.02,8,1,0,-0.76,10.5,24.38,161.18,2,4,4,1,1,2,1,NA,265,2412
Mico argentatus,355,0.98,0.13,144,1.84,0,0,0,-3.09,4,25.44,171.85,2,,5,1,1,3,2,NA,275,808
Mico melanurus,380,1.07,0.25,150,2.02,20,0,0,-14.23,11.29,24.34,126.64,NA,,5,NA,NA,3,NA,NA,260,417
Microcebus murinus,65,0.9,0.01,60.3,2,0,0,1,-18.95,13.25,24.09,85.12,2,"1,3",3,0,1,3,1,NA,155,1404
Miopithecus talapoin,775,1.61,0.8,164.4,1.01,0,0,0,-7.68,9.37,23.17,104.31,3,"1,2",3,0,2,3,0,NA,195,175
Mirza coquereli,299,1.06,0.03,88.6,1.71,38,0,1,-18.34,10.18,23.89,92.48,1,,4,1,1,2,1,NA,230,150
Nasalis larvatus,9730,1.31,1.4,165,1.02,56,0,0,1.42,11.21,25.02,257.08,4,,5,0,2,3,1,NA,250,97
Nomascus gabriellae,5230,1.38,0.39,206,1,58,0,0,11.75,4.28,24.92,142.76,NA,,5,NA,NA,3,NA,NA,275,191
Nomascus leucogenys,6600,0.98,0.35,210,1,53,0,0,20.91,5.68,19.07,123.41,5,,4,0,3,2,1,NA,275,305
Nycticebus coucang,637,1.16,0.16,191.1,1.12,0,0,0,0.27,18.11,24.87,237.29,4,5,4,0,2,2,0,NA,260,362
Nycticebus pygmaeus,423,0.99,0.001,185.4,1.75,0,0,0,16.94,13.01,21.09,149.9,NA,,3,NA,NA,3,NA,NA,195,604
Otolemur crassicaudatus,1150,1.3,0.06,131,1.14,0,0,0,-14.71,31.53,22.02,87.09,1,2,4,1,1,2,1,NA,215,358
Otolemur garnettii,795,1.1,0.12,132.2,1.02,0,0,0,-4.61,14.25,23.6,67.92,2,3,5,1,1,3,2,NA,255,489
Pan paniscus,33200,1.36,27.93,235.2,1.01,24,0.5,0,-1.66,6.67,25.03,161.12,4,,5,0,2,3,1,NA,275,267
Pan troglodytes,39300,1.19,10.85,231.5,1.05,20,0.5,0,2.2,21.85,24.17,149.72,5,,5,0,3,3,0,0.09,280,3606
Papio anubis,12200,1.73,4.83,179,1.01,31,1,0,8.04,27.69,24.27,98.24,5,,5,0,3,3,0,0.19,275,462
Papio cynocephalus,11900,1.9,14.95,173,1.01,16,1,0,-5.96,25.91,23.04,86.42,4,5,5,0,2,3,1,0.14,265,118
Papio hamadryas,9900,1.71,17.37,180,1.01,28,1,0,12.72,9.39,21.61,45.94,4,2,5,0,2,3,1,NA,275,4961
Papio papio,12000,1.92,32.5,184.4,1.01,23,1,0,10.83,4.65,26.32,170.11,4,,5,0,2,3,1,NA,275,1050
Papio ursinus,14800,2.01,9.12,185.9,1.01,16,1,0,-24.42,20.82,18.46,41.9,3,,5,1,2,3,1,0.42,250,82
Perodicticus potto,835,0.96,0.11,193,1.09,0,0,0,1.77,25.94,24.38,139,2,4,5,1,1,3,2,0.77,270,117
Pithecia pithecia,1512,1.03,0.04,161.1,1.01,9,0,0,2.92,11.88,25.42,156.99,3,4,4,0,2,2,0,NA,270,1316
Plecturocebus cupreus,825,1.33,0.25,129.3,1.01,8,0,0,-6.58,8.17,25.54,196.01,3,,4,0,2,2,0,NA,260,175
Plecturocebus donacophilus,909,1.09,0.1,126,1.02,30,0,0,-15.87,10.84,24.43,108.93,NA,,3,NA,NA,3,NA,NA,180,215
Pongo pygmaeus,35800,2.19,3.88,259.4,1.07,48,0,0,1.33,8.01,23.77,258.7,4,,5,0,2,3,1,NA,285,1655
Propithecus coquereli,3750,0.99,0.08,141,1,48,0,1,-15.49,1.84,25.14,134.79,1,,3,1,1,2,1,NA,115,158
Propithecus verreauxi*,3150,0.9,0.03,149.8,1.02,53,0,1,-22.63,5.9,23.54,58.13,1,2,2,0,1,3,0,0.967a,95,63
Pygathrix nemaeus,7000,1.4,0.36,182.9,1.01,73,0,0,16.63,5.84,22.54,189.53,3,4,5,1,2,3,1,NA,275,264
Saguinus bicolor,430,1,0.56,158.2,2,0,0,0,-1.74,2.89,26.22,129.99,4,,5,0,2,3,1,NA,275,602
Saguinus fuscicollis,401,0.96,0.2,148,1.83,0,0,0,-5.28,16.93,25.45,196.8,4,,4,0,2,2,0,0.63,260,1163
Saguinus geoffroyi,507,0.96,0.16,142,1.97,4,0,0,6.88,5.51,25.93,279.43,4,,5,0,2,3,1,NA,265,592
Saguinus imperator,446,0.93,0.22,143,2,0,0,0,-9.23,4.8,24.94,212.79,2,3,4,1,1,2,1,NA,270,2588
Saguinus labiatus,529,0.9,0.19,144.2,1.84,0,0,0,-6.4,9.33,25.68,168.04,1,,4,1,1,2,1,NA,265,1314
Saguinus leucopus,525,1.01,0.64,142.5,2,0,0,0,6.3,4.96,23.11,143.66,2,,5,1,1,3,2,NA,250,97
Saguinus midas,535,0.96,0.05,138.2,2.02,0,0,0,-0.17,16.39,25.28,160.68,2,,5,1,1,3,2,NA,285,1632
Saguinus mystax,445,1.13,0.21,148.3,1.93,0,0,0,-6.23,7.17,25.64,194.85,4,,5,0,2,3,1,NA,265,209
Saguinus oedipus,404,1.03,0.06,166.5,1.9,0,0,0,9.22,3.6,26.34,120.29,3,2,4,0,2,2,0,NA,270,8037
Saimiri boliviensis,800,1.25,3.75,157.8,1.02,0,0,0,-11.05,16.7,24.29,171.5,1,2,3,1,1,2,1,NA,140,2906
Saimiri sciureus,635,1.17,0.68,164.1,1,0,0,0,-0.64,16.52,25.3,186.86,1,2,4,1,1,2,1,NA,230,4179
Sapajus apella,2350,1.51,0.88,155,1.05,16,0,0,-10.77,35.78,24.12,154.19,4,,4,0,2,2,0,0.66,225,2396
Sapajus libidinosus,2117,1.57,3,167.8,1,10,0,0,-18.08,7.83,24.42,115.7,3,,4,0,2,2,0,NA,215,120
Sapajus nigritus,2215,1.47,1.47,153,1,28,0,0,-23.1,13.39,18.98,126.58,2,3,3,0,1,3,1,NA,150,58
Sapajus xanthosternos,2350,1.45,7.09,165,1,10,0,0,-14.09,2.14,21.66,116.23,4,,4,0,2,2,1,NA,205,268
Semnopithecus entellus,12800,1.42,1.3,197.7,1.02,55,1,0,23.49,12.92,25.4,78.82,2,4,5,1,1,3,2,0.86,265,546
Semnopithecus priam,11150,1.36,1.55,184,1.02,48,1,0,9.91,8,26.88,107.23,5,,5,0,3,3,0,NA,260,95
Semnopithecus vetulus,6525,1.06,0.02,204.7,1.01,45,0,0,8.03,3.59,25.75,143.41,3,,5,1,2,3,1,0.5,260,91
Symphalangus syndactylus,10700,1.02,0.22,230.7,1.02,45,0,0,0.14,11.01,24.17,226.72,NA,,5,NA,NA,3,NA,NA,285,928
Tarsius syrichta,120,1.18,0.01,178,1.01,0,0,0,9.07,7.03,24.11,183.1,3,,5,1,2,3,1,NA,205,58
Theropithecus gelada,11050,1.67,1.16,178.6,1.01,0,1,0,10.95,6.49,17.34,92.49,4,,4,0,2,2,0,0.09,255,728
Trachypithecus auratus,9807,1.09,0.03,183.4,1.01,52,0,0,-7.41,3.09,24.44,201.2,5,,5,0,3,3,0,NA,280,733
Trachypithecus cristatus,5700,1.16,0.12,198.3,1.01,91,0,0,0.54,12.97,25.03,242.86,NA,,5,NA,NA,3,NA,NA,280,272
Trachypithecus francoisi,6700,1.06,0.17,184,1.01,67,0,0,22.9,11.38,18.75,123.18,NA,,5,NA,NA,3,NA,NA,280,321
Trachypithecus obscurus,6800,1.12,0.18,146.6,1.01,53,0,0,6.82,11.12,25.5,201.98,NA,,5,NA,NA,3,NA,NA,280,361
Varecia rubra*,3470,1.02,0.25,102,3,12,0,1,-15.44,1.11,22.33,176.31,1,,1,0,1,3,0,NA,55,1801
Varecia variegata*,3700,0.97,1.39,102.5,2.16,9,0,1,-19.18,8.15,19.9,188.58,1,2,1,0,1,3,0,NA,60,3931