Scientific_Name_PAD,Scientific_Name_DLC,MatingSeasDur,Mating_System
Daubentonia_madagascariensis,Daubentonia_madagascariensis,5,Polygamous
Varecia_variegata_variegata,Varecia_variegata,3,Polyandrous
Eulemur_macaco_flavifrons,Eulemur_flavifrons,3,Polygamous
Eulemur_fulvus_collaris,Eulemur_collaris,0.5,Polygamous
Eulemur_macaco_macaco,Eulemur_macaco,3.5,Polygamous
Eulemur_fulvus_fulvus,Eulemur_fulvus,2,Polygamous
Propithecus_coquereli,Propithecus_coquereli,3,Polyandrous
Eulemur_coronatus,Eulemur_coronatus,1.5,Polygynous
Hapalemur_griseus_alaotrensis,Hapalemus_griseus,6,Polygynous
Cheirogaleus_medius,Cheirogaleus_medius,1,Monogamous
Propithecus_tattersalli,Propithecus_coquereli,2.5,Polygynous
Microcebus_murinus,Microcebus_murinus,1,Polygamous
Galago_senegalensis,Galago_moholi,2,Polygynous
Eulemur_mongoz,Eulemur_mongoz,2,Monogamous
Mirza_zaza,Mirza_coquereli,2,Polygamous
Nycticebus_pygmaeus,Nycticebus_pygmaeus,2,Polygynous
Eulemur_rubriventer,Eulemur_rubriventer,1,Monogamous
Eulemur_fulvus_rufus,Eulemur_rufus,2,Polygamous
Varecia_rubra,Varecia_rubra,1,Polygamous
Lemur_catta,Lemur_catta,1,Polygamous
Eulemur_fulvus_sanfordi,Eulemur_sanfordi,0.5,Polygamous
Loris_tardigradus,Loris_tardigradus,4,Polygamous
Nycticebus_coucang,Nycticebus_coucang,2.5,Polygamous
Eulemur_albifrons,Eulemur_albifrons,,
Propithecus_coquereli,Propithecus_coquereli,,